Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,
assignment-3,com.slimtrade,App,Feature Envy,The tool detected a instance of this smell because initParser is more interested in members of the type: ChatParser,
assignment-3,com.slimtrade,App,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: globalKeyboardListener; globalMouseListener; loadingWindow; lockManager; updateManager; chatParser; appInfo; state; previousState; themesHaveBeenInitialized; updateIsAvailable; isRunningSetup; noUpdate; noLock; debug; debugUIAlwaysOnTop; chatInConsole; debugUIBorders; debugProfileLaunch; showOptionsOnLaunch; forceSetup,
assignment-3,com.slimtrade,App,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: UpdateManager; App; GlobalKeyboardListener; HotkeyButton; HotkeyManager; CheatSheetWindow; SaveManager; SaveFile; ZUtil; ThemeManager; FrameManager; DebugWindow; MessageManager; TradeUtil; AudioManager; Sound; SoundComponent; CurrencyType; UpdateMessagePanel; TradeOffer; StashTabColor; SaleItem; TradeMessagePanel; StashHelperPanel; StashHighlighterFrame; CurrencyLabelFactory; POEInterface; DummyWindow; StashHelperBulkWrapper; StashHelperContainer; ChatScannerEntry; ChatScannerMessagePanel; NotificationPanel; NotificationIconButton; IgnoreItemData; OptionsWindow; AbstractMacroOptionPanel; MacroCustomizerPanel; IgnoreItemOptionPanel; IgnoreInputPanel; IgnoreRowComponents; HotkeyOptionPanel; IncomingMacroPanel; OutgoingMacroPanel; HistoryWindow; HistoryPanel; HistoryTable; HistoryTableModel; HistoryRowData; DateString; TimeString; ChatScannerWindow; ChatScannerSearchingPanel; ChatScannerRenamePanel; ChatScannerDeletePanel; ChatScannerCustomizerPanel; ItemIgnoreWindow; TutorialWindow; TutorialPanel; StyledLabel; ThemeColorVariantSetting; ThemeColorVariant; PatchNotesWindow; StashSearchWindow; PinManager; SetupWindow; StartSetupPanel; FinishSetupPanel; AbstractSetupPanel; ClientSetupPanel; StashSetupPanel; StashFolderSetupPanel; SetupManager; UpdateProgressWindow; OverlayInfoDialog; LabeledSlider; MessageOverlay; StashGridWindow; GridPanel; MenubarButtonDialog; IconButton; MenubarDialog; SystemTrayManager; GlobalMouseListener; VisibilityManager; VisibilityDialog; LoadingWindow; ChatParser; FileTailer; FileTailerListener; IPreloadTradeListener; ITradeListener; IChatScannerListener,
assignment-3,com.slimtrade,App,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: GlobalMouseListener; SettingsSaveFile; ZUtil; HotkeyButton; TutorialPanel; FrameManager; HotkeyManager; SetupManager; SystemTrayManager; VisibilityManager; MenubarButtonDialog; MenubarDialog; UpdateMessagePanel; AbstractOptionPanel; DisplayPreviewPanel; HeaderPanel; ClientPathPanel; SetupWindow; AbstractMovableDialog; CustomDialog; OptionsWindow; PatchNotesWindow; StashGridWindow; TutorialWindow; UpdateManager; ReleaseTest. Outgoing dependencies: GlobalKeyboardListener; GlobalMouseListener; LoadingWindow; LockManager; UpdateManager; ChatParser; AppInfo; AppState; Stopwatch; POEInterface; ZLogger; SetupManager; FrameManager; SaveManager; AudioManager; CurrencyType; SystemTrayManager; ZUtil; ThemeManager; FontManager; PinManager; HotkeyManager; References; UpdateAction; TutorialWindow,
assignment-3,com.slimtrade.core.audio,Sound,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; soundType; path; url,
assignment-3,com.slimtrade.core.audio,Sound,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: UpdateManager; App; GlobalKeyboardListener; HotkeyButton; HotkeyManager; CheatSheetWindow; SaveManager; SaveFile; ZUtil; ThemeManager; FrameManager; DebugWindow; MessageManager; TradeUtil; AudioManager; Sound; SoundComponent; CurrencyType; UpdateMessagePanel; TradeOffer; StashTabColor; SaleItem; TradeMessagePanel; StashHelperPanel; StashHighlighterFrame; CurrencyLabelFactory; POEInterface; DummyWindow; StashHelperBulkWrapper; StashHelperContainer; ChatScannerEntry; ChatScannerMessagePanel; NotificationPanel; NotificationIconButton; IgnoreItemData; OptionsWindow; AbstractMacroOptionPanel; MacroCustomizerPanel; IgnoreItemOptionPanel; IgnoreInputPanel; IgnoreRowComponents; HotkeyOptionPanel; IncomingMacroPanel; OutgoingMacroPanel; HistoryWindow; HistoryPanel; HistoryTable; HistoryTableModel; HistoryRowData; DateString; TimeString; ChatScannerWindow; ChatScannerSearchingPanel; ChatScannerRenamePanel; ChatScannerDeletePanel; ChatScannerCustomizerPanel; ItemIgnoreWindow; TutorialWindow; TutorialPanel; StyledLabel; ThemeColorVariantSetting; ThemeColorVariant; PatchNotesWindow; StashSearchWindow; PinManager; SetupWindow; StartSetupPanel; FinishSetupPanel; AbstractSetupPanel; ClientSetupPanel; StashSetupPanel; StashFolderSetupPanel; SetupManager; UpdateProgressWindow; OverlayInfoDialog; LabeledSlider; MessageOverlay; StashGridWindow; GridPanel; MenubarButtonDialog; IconButton; MenubarDialog; SystemTrayManager; GlobalMouseListener; VisibilityManager; VisibilityDialog; LoadingWindow; ChatParser; FileTailer; FileTailerListener; IPreloadTradeListener; ITradeListener; IChatScannerListener,
assignment-3,com.slimtrade.core.audio,Sound.SoundType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
assignment-3,com.slimtrade.core.audio,Sound.SoundType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),
assignment-3,com.slimtrade.core.audio,SoundComponent,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: sound; volume,
assignment-3,com.slimtrade.core.chatparser,ChatParser,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: tailerDelayMS; tailer; onInitListeners; onLoadListeners; preloadTradeListeners; tradeListeners; chatScannerListeners; joinedAreaListeners; dndListeners; path; open; lineCount; whisperCount; currentZone; dnd,
assignment-3,com.slimtrade.core.chatparser,ChatParser,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: UpdateManager; App; GlobalKeyboardListener; HotkeyButton; HotkeyManager; CheatSheetWindow; SaveManager; SaveFile; ZUtil; ThemeManager; FrameManager; DebugWindow; MessageManager; TradeUtil; AudioManager; Sound; SoundComponent; CurrencyType; UpdateMessagePanel; TradeOffer; StashTabColor; SaleItem; TradeMessagePanel; StashHelperPanel; StashHighlighterFrame; CurrencyLabelFactory; POEInterface; DummyWindow; StashHelperBulkWrapper; StashHelperContainer; ChatScannerEntry; ChatScannerMessagePanel; NotificationPanel; NotificationIconButton; IgnoreItemData; OptionsWindow; AbstractMacroOptionPanel; MacroCustomizerPanel; IgnoreItemOptionPanel; IgnoreInputPanel; IgnoreRowComponents; HotkeyOptionPanel; IncomingMacroPanel; OutgoingMacroPanel; HistoryWindow; HistoryPanel; HistoryTable; HistoryTableModel; HistoryRowData; DateString; TimeString; ChatScannerWindow; ChatScannerSearchingPanel; ChatScannerRenamePanel; ChatScannerDeletePanel; ChatScannerCustomizerPanel; ItemIgnoreWindow; TutorialWindow; TutorialPanel; StyledLabel; ThemeColorVariantSetting; ThemeColorVariant; PatchNotesWindow; StashSearchWindow; PinManager; SetupWindow; StartSetupPanel; FinishSetupPanel; AbstractSetupPanel; ClientSetupPanel; StashSetupPanel; StashFolderSetupPanel; SetupManager; UpdateProgressWindow; OverlayInfoDialog; LabeledSlider; MessageOverlay; StashGridWindow; GridPanel; MenubarButtonDialog; IconButton; MenubarDialog; SystemTrayManager; GlobalMouseListener; VisibilityManager; VisibilityDialog; LoadingWindow; ChatParser; FileTailer; FileTailerListener; IPreloadTradeListener; ITradeListener; IChatScannerListener,
