Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
assignment-3,com.slimtrade,App,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.slimtrade.core.managers.LockManager; com.slimtrade.modules.updater.UpdateManager; com.slimtrade.core.chatparser.ChatParser; com.slimtrade.gui.windows.LoadingWindow
assignment-3,com.slimtrade,App,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: globalKeyboardListener (46); globalMouseListener (47); updateManager (50); chatParser (52); appInfo (54); noUpdate (62); noLock (63); debug (64); debugUIAlwaysOnTop (65); chatInConsole (66); debugUIBorders (67); showOptionsOnLaunch (69); forceSetup (70)
assignment-3,com.slimtrade,App,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 25
assignment-3,com.slimtrade.core.chatparser,ChatParser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
assignment-3,com.slimtrade.core.data,PatchNotesEntry,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.slimtrade.modules.updater.data.AppVersion
assignment-3,com.slimtrade.core.data,PatchNotesEntry,Law of Demeter violation,The tool detected the smell in this method (toString) because the method voilates the law of Demeter. The long chain of method invocations is : com.slimtrade.core.data.PatchNotesEntry.getAppVersion; com.slimtrade.modules.updater.data.AppVersion.toString
assignment-3,com.slimtrade.core.managers,FontManager,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_FONT (24)
assignment-3,com.slimtrade.core.managers,SaveManager,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.slimtrade.modules.saving.SaveFile
assignment-3,com.slimtrade.core.managers,SaveManager,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: settingsSaveFile (33); appStateSaveFile (34); overlaySaveFile (35); stashSaveFile (36); ignoreSaveFile (37); pinSaveFile (38); chatScannerSaveFile (39); patchNotesSaveFile (40)
assignment-3,com.slimtrade.core.saving.legacy.patcher,PatcherOverlay0to1,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.slimtrade.modules.saving.SaveFile
assignment-3,com.slimtrade.core.saving.legacy.patcher,PatcherScanner0to1,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.slimtrade.modules.saving.SaveFile
assignment-3,com.slimtrade.core.saving.legacy.patcher,PatcherSettings0to1,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.slimtrade.modules.saving.SaveFile
assignment-3,com.slimtrade.core.saving.legacy.patcher,PatcherStash0to1,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.slimtrade.modules.saving.SaveFile
assignment-3,com.slimtrade.core.saving.legacy.savefiles,LegacyOverlaySave0,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_MESSAGE_SIZE (22); TOTAL_BORDER_SIZE (23)
assignment-3,com.slimtrade.core.saving.legacy.savefiles,LegacyScannerSave0.LegacyScannerMessage,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
assignment-3,com.slimtrade.core.saving.legacy.savefiles,LegacySettingsSave0,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
assignment-3,com.slimtrade.core.saving.legacy.savefiles,LegacySettingsSave0.LegacyCheatSheetData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
assignment-3,com.slimtrade.core.saving.legacy.savefiles,LegacySettingsSave0.LegacyIgnoreData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
assignment-3,com.slimtrade.core.saving.legacy.savefiles,LegacySettingsSave0.LegacyMacroButton,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
assignment-3,com.slimtrade.core.saving.legacy.savefiles,LegacySettingsSave0.LegacySoundElement,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
assignment-3,com.slimtrade.core.saving.legacy.savefiles,LegacySettingsSave0.LegacyStashSearchData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
assignment-3,com.slimtrade.core.saving.legacy.savefiles,LegacySettingsSave0.LegacyStashTabData,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
assignment-3,com.slimtrade.core.saving.savefiles,SettingsSaveFile,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.slimtrade.modules.updater.data.AppVersion
assignment-3,com.slimtrade.core.saving.savefiles,SettingsSaveFile,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
assignment-3,com.slimtrade.core.utility,GUIReferences,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSET (5); SMALL_INSET (6)
assignment-3,com.slimtrade.core.utility,TradeUtil,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: screenSize (18)
assignment-3,com.slimtrade.gui.chatscanner,ChatScannerCustomizerPanel,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.slimtrade.gui.chatscanner.ScannerSearchTermsPanel
