Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
assignment-3,com.slimtrade,App,main,86,9,1,72,0,com.slimtrade.modules.stopwatch.Stopwatch,com.slimtrade.modules.stopwatch.Stopwatch; com.slimtrade.core.utility.POEInterface; com.slimtrade.modules.updater.UpdateManager; com.slimtrade.modules.updater.ZLogger; com.slimtrade.gui.managers.SetupManager; com.slimtrade.App; com.slimtrade.gui.managers.FrameManager; com.slimtrade.gui.windows.LoadingWindow; com.slimtrade.core.managers.SaveManager; com.slimtrade.core.managers.AudioManager; com.slimtrade.core.managers.LockManager; com.slimtrade.core.enums.CurrencyType; com.slimtrade.gui.managers.SystemTrayManager; com.slimtrade.core.utility.ZUtil
assignment-3,com.slimtrade,App,profileLaunch,4,2,1,181,0,com.slimtrade.modules.stopwatch.Stopwatch,com.slimtrade.modules.stopwatch.Stopwatch; com.slimtrade.modules.updater.ZLogger
assignment-3,com.slimtrade,App,runSetupWizard,8,1,0,186,0,com.slimtrade.gui.setup.SetupWindow,com.slimtrade.gui.setup.SetupWindow; com.slimtrade.gui.managers.FrameManager
assignment-3,com.slimtrade,App,initializeThemes,11,2,0,194,0,com.slimtrade.modules.theme.ThemeManager,com.slimtrade.modules.theme.ThemeManager; com.slimtrade.core.managers.FontManager
assignment-3,com.slimtrade,App,launchApp,26,5,0,206,0,com.slimtrade.gui.pinning.PinManager,com.slimtrade.gui.pinning.PinManager; com.slimtrade.modules.updater.UpdateManager; com.slimtrade.gui.windows.OptionsWindow; com.slimtrade.App; com.slimtrade.modules.saving.SaveFile; com.slimtrade.gui.windows.PatchNotesWindow; com.slimtrade.gui.managers.HotkeyManager; com.slimtrade.gui.managers.FrameManager; com.slimtrade.gui.managers.SystemTrayManager; com.slimtrade.gui.windows.VisibilityDialog
assignment-3,com.slimtrade,App,initParser,19,2,0,238,0,com.slimtrade.core.chatparser.ChatParser,com.slimtrade.core.chatparser.ChatParser
assignment-3,com.slimtrade,App,readAppInfo,16,1,0,262,0,com.slimtrade.modules.updater.ZLogger,com.slimtrade.modules.updater.ZLogger
assignment-3,com.slimtrade,App,parseLaunchArgs,11,8,1,278,0,,
assignment-3,com.slimtrade,App,setState,4,1,1,291,0,,
assignment-3,com.slimtrade,App,getState,3,1,0,296,0,,
assignment-3,com.slimtrade,App,getPreviousState,3,1,0,300,0,,
assignment-3,com.slimtrade,App,isRunningSetup,3,1,0,304,0,,
assignment-3,com.slimtrade,App,closeProgram,11,1,0,308,0,com.slimtrade.modules.updater.ZLogger,com.slimtrade.modules.updater.ZLogger; com.slimtrade.core.managers.LockManager
assignment-3,com.slimtrade.core.audio,Sound,Sound,13,3,2,19,0,com.slimtrade.core.managers.SaveManager,com.slimtrade.core.managers.SaveManager
assignment-3,com.slimtrade.core.audio,Sound,getPath,11,4,0,31,0,com.slimtrade.core.managers.SaveManager,com.slimtrade.core.managers.SaveManager
assignment-3,com.slimtrade.core.audio,Sound,getURL,18,4,0,42,0,com.slimtrade.core.audio.Sound,com.slimtrade.core.audio.Sound
assignment-3,com.slimtrade.core.audio,Sound,toString,3,1,0,59,0,,
assignment-3,com.slimtrade.core.audio,Sound,equals,6,3,1,64,0,,
assignment-3,com.slimtrade.core.audio,Sound,hashCode,3,1,0,72,0,,
assignment-3,com.slimtrade.core.audio,SoundComponent,SoundComponent,4,1,2,8,0,,
assignment-3,com.slimtrade.core.chatparser,ChatParser,open,16,4,1,43,0,com.slimtrade.modules.filetailing.FileTailer,com.slimtrade.modules.filetailing.FileTailer; com.slimtrade.modules.updater.ZLogger; com.slimtrade.core.chatparser.ChatParser; com.slimtrade.core.utility.ZUtil
assignment-3,com.slimtrade.core.chatparser,ChatParser,close,5,1,0,60,0,com.slimtrade.modules.filetailing.FileTailer,com.slimtrade.modules.filetailing.FileTailer
assignment-3,com.slimtrade.core.chatparser,ChatParser,getPath,3,1,0,66,0,,
assignment-3,com.slimtrade.core.chatparser,ChatParser,parseLine,33,12,1,72,0,com.slimtrade.core.chatparser.IJoinedAreaListener,com.slimtrade.core.chatparser.IJoinedAreaListener; com.slimtrade.core.chatparser.ChatParser; com.slimtrade.core.trading.TradeOffer
assignment-3,com.slimtrade.core.chatparser,ChatParser,handleChatScanner,57,20,1,111,0,com.slimtrade.gui.chatscanner.ChatScannerEntry,com.slimtrade.gui.chatscanner.ChatScannerEntry; com.slimtrade.core.chatparser.IChatScannerListener; com.slimtrade.modules.filetailing.FileTailer
assignment-3,com.slimtrade.core.chatparser,ChatParser,handleTradeOffer,26,8,1,173,0,com.slimtrade.core.data.IgnoreItemData,com.slimtrade.core.data.IgnoreItemData; com.slimtrade.core.chatparser.ChatParser; com.slimtrade.core.chatparser.ITradeListener; com.slimtrade.modules.filetailing.FileTailer; com.slimtrade.core.chatparser.IPreloadTradeListener
assignment-3,com.slimtrade.core.chatparser,ChatParser,handleDndToggle,20,9,1,201,0,com.slimtrade.modules.filetailing.FileTailer,com.slimtrade.modules.filetailing.FileTailer; com.slimtrade.core.chatparser.IDndListener
assignment-3,com.slimtrade.core.chatparser,ChatParser,handleIgnoreItem,3,2,0,222,0,com.slimtrade.core.managers.AudioManager,com.slimtrade.core.managers.AudioManager; com.slimtrade.modules.filetailing.FileTailer
assignment-3,com.slimtrade.core.chatparser,ChatParser,getCurrentZone,3,1,0,226,0,,
assignment-3,com.slimtrade.core.chatparser,ChatParser,isDndEnabled,3,1,0,230,0,,
assignment-3,com.slimtrade.core.chatparser,ChatParser,addOnInitCallback,3,1,1,235,0,,
assignment-3,com.slimtrade.core.chatparser,ChatParser,addOnLoadedCallback,3,1,1,239,0,,
assignment-3,com.slimtrade.core.chatparser,ChatParser,addPreloadTradeListener,3,1,1,243,0,,
assignment-3,com.slimtrade.core.chatparser,ChatParser,addTradeListener,3,1,1,247,0,,
assignment-3,com.slimtrade.core.chatparser,ChatParser,addChatScannerListener,3,1,1,251,0,,
assignment-3,com.slimtrade.core.chatparser,ChatParser,addJoinedAreaListener,3,1,1,255,0,,
assignment-3,com.slimtrade.core.chatparser,ChatParser,addDndListener,3,1,1,259,0,,
assignment-3,com.slimtrade.core.chatparser,ChatParser,removeAllListeners,8,1,0,263,0,,
assignment-3,com.slimtrade.core.chatparser,ChatParser,init,3,2,1,274,0,com.slimtrade.core.chatparser.IParserInitListener,com.slimtrade.core.chatparser.IParserInitListener
assignment-3,com.slimtrade.core.chatparser,ChatParser,fileNotFound,2,1,0,279,0,,
assignment-3,com.slimtrade.core.chatparser,ChatParser,fileRotated,2,1,0,284,0,,
