Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
assignment-3,com.slimtrade,App,21,14,13,9,228,35,0,0,0.0,26,25,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\App.java,44
assignment-3,com.slimtrade.core.audio,Sound,4,2,6,6,61,16,0,0,0.0,8,1,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\audio\Sound.java,10
assignment-3,com.slimtrade.core.audio,Sound.SoundType,0,0,0,0,1,0,0,0,-1.0,0,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\audio\Sound.java,12
assignment-3,com.slimtrade.core.audio,SoundComponent,2,2,1,1,8,1,0,0,0.0,5,1,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\audio\SoundComponent.java,3
assignment-3,com.slimtrade.core.chatparser,ChatParser,15,1,23,19,229,74,0,1,0.13043478260869565,2,17,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\chatparser\ChatParser.java,20
assignment-3,com.slimtrade.core.chatparser,IChatScannerListener,0,0,1,0,3,1,1,0,-1.0,1,2,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\chatparser\IChatScannerListener.java,6
assignment-3,com.slimtrade.core.chatparser,IDndListener,0,0,1,0,3,1,2,0,-1.0,1,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\chatparser\IDndListener.java,3
assignment-3,com.slimtrade.core.chatparser,IJoinedAreaListener,0,0,1,0,3,1,1,0,-1.0,1,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\chatparser\IJoinedAreaListener.java,3
assignment-3,com.slimtrade.core.chatparser,IParserInitListener,0,0,1,0,3,1,1,0,-1.0,1,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\chatparser\IParserInitListener.java,3
assignment-3,com.slimtrade.core.chatparser,IParserLoadedListener,0,0,1,0,3,1,4,0,-1.0,1,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\chatparser\IParserLoadedListener.java,3
assignment-3,com.slimtrade.core.chatparser,IPreloadTradeListener,0,0,1,0,3,1,1,0,-1.0,1,1,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\chatparser\IPreloadTradeListener.java,5
assignment-3,com.slimtrade.core.chatparser,ITradeListener,0,0,1,0,3,1,2,0,-1.0,1,1,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\chatparser\ITradeListener.java,5
assignment-3,com.slimtrade.core,CommonText,3,3,0,0,5,0,0,0,-1.0,3,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\CommonText.java,3
assignment-3,com.slimtrade.core,References,22,22,0,0,24,0,0,0,-1.0,13,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\References.java,6
assignment-3,com.slimtrade.core.data,CheatSheetData,4,2,5,4,37,10,0,0,0.0,4,1,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\data\CheatSheetData.java,5
assignment-3,com.slimtrade.core.data,FontLanguageSupport,5,5,1,1,17,1,0,0,0.0,1,1,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\data\FontLanguageSupport.java,7
assignment-3,com.slimtrade.core.data,IgnoreItemData,7,4,5,5,37,9,0,0,0.0,5,2,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\data\IgnoreItemData.java,8
assignment-3,com.slimtrade.core.data,ListPanel,2,2,2,2,11,2,0,0,0.0,0,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\data\ListPanel.java,3
assignment-3,com.slimtrade.core.data,PasteReplacement,6,6,2,2,24,2,0,0,0.0,6,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\data\PasteReplacement.java,3
assignment-3,com.slimtrade.core.data,PatchNotesEntry,3,2,3,3,16,4,0,0,0.0,1,1,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\data\PatchNotesEntry.java,5
assignment-3,com.slimtrade.core.data,PlayerMessage,3,2,2,2,13,2,0,0,0.0,4,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\data\PlayerMessage.java,3
assignment-3,com.slimtrade.core.data,PriceThresholdData,3,3,2,2,13,2,0,0,0.0,1,2,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\data\PriceThresholdData.java,6
assignment-3,com.slimtrade.core.data,SaleItem,3,3,3,3,58,10,0,0,1.0,4,1,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\data\SaleItem.java,7
assignment-3,com.slimtrade.core.data,SaleItemWrapper,1,1,1,1,9,1,0,0,0.0,1,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\data\SaleItemWrapper.java,5
assignment-3,com.slimtrade.core.data,StashTabData,4,4,1,1,12,1,0,0,0.0,1,2,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\data\StashTabData.java,6
assignment-3,com.slimtrade.core.enums,Anchor,1,0,0,0,8,0,0,0,-1.0,8,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\Anchor.java,5
assignment-3,com.slimtrade.core.enums,AppState,0,0,0,0,1,0,0,0,-1.0,9,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\AppState.java,3
assignment-3,com.slimtrade.core.enums,BaseIcon,0,0,0,0,2,0,0,0,-1.0,0,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\BaseIcon.java,3
assignment-3,com.slimtrade.core.enums,ButtonRow,0,0,0,0,4,0,0,0,-1.0,6,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\ButtonRow.java,5
assignment-3,com.slimtrade.core.enums,CommonCurrency,1,0,0,0,14,0,0,0,-1.0,0,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\CommonCurrency.java,5
assignment-3,com.slimtrade.core.enums,CurrencyType,5,2,11,7,107,20,0,1,0.0,8,1,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\CurrencyType.java,11
assignment-3,com.slimtrade.core.enums,CustomIcon,1,0,0,0,8,0,0,1,-1.0,5,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\CustomIcon.java,5
assignment-3,com.slimtrade.core.enums,DateFormat,2,0,0,0,13,0,0,0,-1.0,4,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\DateFormat.java,3
assignment-3,com.slimtrade.core.enums,DefaultIcon,1,0,0,0,8,0,0,1,-1.0,15,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\DefaultIcon.java,5
assignment-3,com.slimtrade.core.enums,ExpandDirection,1,0,0,0,8,0,0,0,-1.0,8,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\ExpandDirection.java,5
assignment-3,com.slimtrade.core.enums,FontLanguage,0,0,0,0,1,0,0,0,-1.0,2,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\FontLanguage.java,3
assignment-3,com.slimtrade.core.enums,HistoryOrder,1,0,0,0,8,0,0,0,-1.0,5,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\HistoryOrder.java,5
assignment-3,com.slimtrade.core.enums,MacroButtonType,1,0,0,0,8,0,0,0,-1.0,3,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\MacroButtonType.java,5
assignment-3,com.slimtrade.core.enums,MatchType,1,0,0,0,8,0,0,0,-1.0,11,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\MatchType.java,5
assignment-3,com.slimtrade.core.enums,MenubarStyle,1,0,0,0,8,0,0,0,-1.0,1,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\MenubarStyle.java,5
assignment-3,com.slimtrade.core.enums,SetupPhase,0,0,0,0,1,0,0,0,-1.0,1,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\SetupPhase.java,3
assignment-3,com.slimtrade.core.enums,SliderRange,3,3,0,0,9,0,0,0,-1.0,7,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\SliderRange.java,3
assignment-3,com.slimtrade.core.enums,SpinnerRange,4,4,0,0,11,0,0,0,-1.0,6,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\SpinnerRange.java,3
assignment-3,com.slimtrade.core.enums,SpinnerRangeFloat,4,4,0,0,11,0,0,0,-1.0,3,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\SpinnerRangeFloat.java,3
assignment-3,com.slimtrade.core.enums,StashTabColor,2,0,0,0,25,0,0,0,-1.0,4,1,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\StashTabColor.java,7
assignment-3,com.slimtrade.core.enums,ThemeColors,9,7,0,0,24,0,0,0,-1.0,0,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\ThemeColors.java,5
assignment-3,com.slimtrade.core.enums,TimeFormat,2,0,0,0,13,0,0,0,-1.0,3,0,C:\Users\19727\csci3130\assignment-3\SlimTrade\src\main\java\com\slimtrade\core\enums\TimeFormat.java,3
